n_pred,n_std,min_cell,alpha,nested_rw
1,1,1,0.5,82.23312635135848
8,4,600,0.5,82.23312635135848
1,1,1,1.0,82.23313348715912
8,4,600,1.0,82.23313348715912
1,1,1,3.0,82.2331619081545
8,4,600,3.0,82.2331619081545
8,4,600,10.0,82.23325979541333
1,1,1,10.0,82.23325979541333
8,4,400,10.0,82.25967360158087
8,4,400,3.0,82.26244240928102
8,4,400,1.0,82.26245648152492
8,4,400,0.5,82.26246016432485
8,3,600,0.5,82.28108133808995
8,3,600,1.0,82.28108872288355
8,3,600,3.0,82.28111613945201
8,3,600,10.0,82.28239034070825
8,2,600,0.5,82.34641602677517
8,2,600,1.0,82.34643363427206
8,2,600,3.0,82.34650082780574
8,2,600,10.0,82.34669628582421
8,3,400,0.5,82.36449303773703
1,3,150,10.0,82.36586451333396
1,3,600,10.0,82.36586451333396
1,3,400,10.0,82.36586451333396
1,3,250,10.0,82.36586451333396
8,3,400,3.0,82.36658634970983
1,3,250,3.0,82.36663350096394
1,3,400,3.0,82.36663350096394
1,3,150,3.0,82.36663350096394
1,3,600,3.0,82.36663350096394
8,3,400,1.0,82.36733113899444
1,3,400,1.0,82.36778553660749
1,3,600,1.0,82.36778553660749
1,3,150,1.0,82.36778553660749
1,3,250,1.0,82.36778553660749
1,3,250,0.5,82.36782701134408
1,3,400,0.5,82.36782701134408
1,3,600,0.5,82.36782701134408
1,3,150,0.5,82.36782701134408
8,3,400,10.0,82.36872974485487
2,1,150,3.0,82.381844329009
2,1,400,3.0,82.381844329009
2,1,250,3.0,82.381844329009
2,1,600,3.0,82.381844329009
2,1,250,1.0,82.381850400041
2,1,400,1.0,82.381850400041
2,1,150,1.0,82.381850400041
2,1,600,1.0,82.381850400041
2,1,250,0.5,82.38185186653082
2,1,150,0.5,82.38185186653082
2,1,600,0.5,82.38185186653082
2,1,400,0.5,82.38185186653082
2,1,400,10.0,82.38471431569373
2,1,600,10.0,82.38471431569373
2,1,150,10.0,82.38471431569373
2,1,250,10.0,82.38471431569373
5,4,600,10.0,82.40588070868463
5,4,600,1.0,82.40590579345623
5,4,600,3.0,82.40593777237906
5,4,600,0.5,82.40621620386095
6,4,600,1.0,82.41320691065658
6,4,600,0.5,82.4132205873784
1,2,400,0.5,82.41633255744435
1,2,600,0.5,82.41633255744435
1,2,250,0.5,82.41633255744435
1,2,150,0.5,82.41633255744435
1,2,150,10.0,82.41633599336103
1,2,250,10.0,82.41633599336103
1,2,400,10.0,82.41633599336103
1,2,600,10.0,82.41633599336103
1,2,250,1.0,82.41634385948578
1,2,400,1.0,82.41634385948578
1,2,600,1.0,82.41634385948578
1,2,150,1.0,82.41634385948578
1,2,150,3.0,82.41638009978163
1,2,250,3.0,82.41638009978163
1,2,400,3.0,82.41638009978163
1,2,600,3.0,82.41638009978163
6,4,600,10.0,82.42488824450791
6,4,600,3.0,82.42505300326026
1,4,150,0.5,82.43138292400563
1,4,250,0.5,82.43138292400563
1,4,400,0.5,82.43138292400563
1,4,600,0.5,82.43138292400563
1,4,400,1.0,82.43217405283428
1,4,250,1.0,82.43217405283428
1,4,600,1.0,82.43217405283428
1,4,150,1.0,82.43217405283428
1,4,600,10.0,82.43571993093387
1,4,150,10.0,82.43571993093387
1,4,250,10.0,82.43571993093387
1,4,400,10.0,82.43571993093387
1,4,250,3.0,82.43653071499821
1,4,600,3.0,82.43653071499821
1,4,150,3.0,82.43653071499821
1,4,400,3.0,82.43653071499821
6,3,600,10.0,82.46443712819328
6,3,600,3.0,82.46515300129562
6,3,600,0.5,82.46556676997736
6,3,600,1.0,82.46560689590594
6,4,400,1.0,82.47389207166685
6,4,400,0.5,82.47431395723532
3,1,600,10.0,82.47794269887999
3,1,400,10.0,82.47794269887999
3,1,250,10.0,82.47794269887999
3,1,150,10.0,82.47794269887999
3,1,600,3.0,82.48076245999835
3,1,150,3.0,82.48076245999835
