model,cv_mse_mean,cv_mse_std,n_folds,best_iteration_mean,genuine15_mean,genuine15_std,single5fold_std,fold_mse_list,genuine_fold_mse_list,best_iterations_list,note
catboost_full,76.302545,2.688119,15,1133.27,77.025542,2.694369,3.220797,"[72.769175, 78.003327, 72.567702, 77.247118, 80.925401, 74.832021, 79.886813, 73.733845, 77.601292, 75.458752, 75.903942, 79.30237, 71.829678, 76.269322, 78.207411]","[73.520304, 78.913767, 73.646277, 77.881284, 81.9223, 75.419059, 80.433753, 74.776416, 77.813602, 75.985705, 76.031446, 80.79086, 72.757551, 76.868846, 78.621965]","[815, 1130, 1034, 997, 1313, 1522, 780, 1367, 1085, 956, 1531, 884, 1652, 1043, 890]","catboost_full = CatBoost native-kategorik FULL matris (num+YIL+kategorik+flag+txt_ridge+lexicon), seed-avg (42,) thread_count=6, weighted=False. KARAR recency_weighted_oof_mse=86.4149 (lgbm_full 87.2663). Unweighted CV=76.3025. Fold-safe."
catboost_full_w,77.782137,2.977582,15,1015.93,78.680024,3.074823,3.814327,"[73.249384, 80.057569, 74.24752, 78.321591, 83.03462, 76.65477, 81.727792, 74.828727, 79.160434, 76.53896, 77.454138, 81.12074, 73.001306, 77.616211, 79.718289]","[73.973493, 81.222836, 75.509593, 78.217048, 84.499151, 78.067485, 82.887593, 76.361251, 79.587495, 76.361749, 77.681426, 82.487209, 74.098215, 78.862595, 80.383215]","[1104, 1116, 658, 1526, 745, 1214, 657, 1411, 967, 1043, 911, 839, 1333, 818, 897]","catboost_full_w = CatBoost native-kategorik FULL matris (num+YIL+kategorik+flag+txt_ridge+lexicon), seed-avg (42,) thread_count=6, weighted=True. KARAR recency_weighted_oof_mse=87.3028 (lgbm_full 87.2663). Unweighted CV=77.7821. Fold-safe."
e5_ridge,140.158319,2.242015,15,0.0,,,,"[141.846742, 139.263907, 135.173835, 142.513942, 141.993167, 138.95954, 137.342119, 142.402736, 140.279777, 141.80742, 140.530973, 143.952646, 139.093777, 139.035263, 138.178933]",,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]","e5_ridge = FROZEN multilingual-e5-large (1024-dim) -> nested-OOF Ridge(alpha=0.1) (TIER-3, src/e5_ridge.py). standalone rw-OOF=158.4580 (txt_ridge 168.0179, DAHA IYI; corr(txt_ridge)=0.859). Fold-safe (frozen emb global + Ridge ic-train'inde). Blend faydasi ensemble.py NESTED rw-OOF + 0.25*std kapisi karar verir."
eda_ratio_feats,77.330202,2.807286,15,429.8,78.454983,2.754735,3.244152,"[73.155383, 79.640852, 74.235209, 78.00569, 81.613873, 76.385332, 80.975272, 74.164963, 78.560039, 76.565401, 77.555916, 79.6911, 72.085427, 77.227736, 80.090829]","[74.676143, 80.95912, 75.742618, 78.429437, 83.445575, 77.362862, 81.761117, 76.30131, 80.127484, 77.409351, 77.27013, 80.619507, 73.065461, 78.972975, 80.681659]","[515, 352, 363, 412, 394, 400, 404, 417, 479, 368, 456, 466, 599, 424, 398]",oran/verimlilik turevleri (7) lgbm_full uzerine. standalone rw=87.5996. BASE blend rw=82.1640 -> +base 82.1864 (delta +0.0224). in-sample blend rw=81.9798 (tani).
histgbr_full,78.093989,2.719122,15,533.13,79.834737,2.847813,3.602388,"[73.834236, 80.366582, 74.819475, 78.806519, 82.643133, 77.166959, 81.419235, 75.357885, 79.57211, 76.953756, 78.262268, 80.773015, 73.740496, 77.190465, 80.503701]","[75.263951, 82.568612, 75.605663, 80.764151, 84.069545, 79.693049, 82.13359, 77.420207, 81.213589, 77.686989, 78.97899, 83.975998, 76.293122, 79.174294, 82.6793]","[399, 569, 457, 706, 603, 508, 504, 533, 500, 536, 504, 568, 576, 498, 536]","histgbr_full = HistGradientBoosting (sklearn) FULL matris (num+YIL+kategorik+flag+txt_ridge+lexicon), native kategorik (from_dtype), random_state=42. UCUNCU GBDT ailesi (blend cesitliligi). KARAR recency_weighted_oof_mse=88.5400 (catboost_full 86.4149, lgbm_full 87.2663). Unweighted CV=78.0940. Fold-safe."
lgbm_full,77.033677,2.730661,15,441.6,78.180935,2.839291,3.406009,"[72.760136, 79.313449, 74.149585, 77.589883, 81.355334, 75.843718, 80.842006, 74.549816, 78.187198, 75.745648, 76.424075, 79.474268, 72.569697, 76.577755, 80.122592]","[73.921078, 80.5807, 75.626367, 78.577085, 83.446634, 76.00709, 81.816574, 76.263838, 79.677615, 77.097767, 76.39502, 80.776393, 73.710006, 77.884971, 80.932892]","[426, 440, 395, 442, 509, 634, 391, 380, 412, 358, 567, 386, 403, 473, 408]","lgbm_full = lgbm_num + txt_ridge_pred(nested-OOF) + lexicon(10) (Faz05 FULL base, reports/nlp_ablation.csv 77.0337). txt_ridge TRAIN=oof_txt_ridge.npy / TEST=test_txt_ridge.npy (fold-safe). cv_mse_mean/std = compute_cv_mse(oof) (avg-oof, DoD-4). recency_weighted_oof_mse=87.2663 (private-durust co-headline, review H1). anchor lgbm_num 81.70 -> FULL kapi GECTI (-4.67)."
lgbm_full_h,76.254679,2.738015,15,966.8,,,,"[72.117999, 79.251827, 72.960427, 76.65241, 80.290732, 75.272905, 80.123397, 73.727912, 77.422311, 74.726869, 76.35115, 78.394344, 71.848164, 75.511925, 79.167811]",,"[1089, 967, 847, 911, 843, 1087, 747, 996, 1171, 869, 1047, 959, 1084, 852, 1033]","lgbm_full_h = lgbm_full'un Huber(alpha=5) varyanti (TIER-3 robust-loss; alt-kuyruk surprizlerinin L2 fit'ini zehirlemesini engeller; alpha repeat-0 fold-safe taramayla, e5 emsal). standalone rw-OOF=86.3222 (L2 ikizi lgbm_full 87.2663). Blend karari ensemble paired-test."
lgbm_full_ht,75.780376,2.731582,15,1356.13,,,,"[71.568717, 78.939595, 72.750741, 75.572279, 80.070547, 74.793197, 79.321427, 73.352307, 77.029772, 74.405176, 76.049901, 77.828874, 71.190734, 75.213001, 78.619368]",,"[1315, 1295, 1247, 1346, 1126, 1622, 1165, 1308, 1455, 1156, 1389, 1527, 1776, 1341, 1274]","lgbm_full_ht = lgbm_full_h + siki regularizasyon (leaves=15, mc=80; onceden-kayitli 12-konfig gridin kazanani, gate-kor repeat-0 secim). standalone rw-OOF=85.7810 (lgbm_full_h 86.3222). Blend kabul kaniti script docstring'inde."
lgbm_full_w,78.307989,2.956506,15,446.07,79.682637,3.043673,3.618095,"[73.600801, 81.047124, 75.298898, 78.516885, 83.076237, 77.221221, 82.301383, 75.244324, 79.755973, 77.017045, 77.971056, 81.058851, 73.592146, 77.618822, 81.29907]","[75.307824, 82.915822, 76.775091, 79.916935, 84.952882, 78.386754, 83.665307, 76.95582, 81.560664, 78.535941, 77.860304, 82.345822, 74.735805, 78.865061, 82.459522]","[397, 283, 322, 597, 358, 395, 348, 458, 737, 380, 504, 363, 786, 361, 402]","lgbm_full_w = lgbm_full FULL matris + AYNI HP, tek fark recency sample_weight (egitim ve eval_set early-stopping). KARAR METRIGI recency_weighted_oof_mse =88.0157 (lgbm_full 87.2663 ile karsilastir). Unweighted CV =78.3080 (agirlikli egitim unweighted'i bozabilir; KARAR DEGIL). Fold-safe: w kovaryat-only (graduation_year), hedefe dokunmaz."
lgbm_num,81.702394,2.933211,15,399.4,82.885307,2.856585,3.891998,"[76.211396, 85.210126, 78.627759, 82.360633, 86.102057, 81.397671, 84.410925, 78.509532, 82.453759, 81.740084, 81.513199, 83.661124, 77.175564, 80.735651, 85.426432]","[77.961053, 86.713237, 79.349775, 83.622612, 87.783763, 82.537721, 84.331213, 80.433699, 83.55375, 82.392231, 81.826103, 85.020139, 78.563525, 82.67921, 86.511582]","[424, 331, 397, 394, 455, 390, 327, 390, 503, 381, 414, 399, 451, 351, 384]","lgbm_num = sayisal+YIL(ham)+native-kategorik+missing-flag (metin yok; review C1: yillar dahil, eski yilsiz taban 87.91). cv_mse_mean/std = compute_cv_mse(oof) (avg-oof, DoD-4). recency_weighted_oof_mse=92.8154 (private-durust co-headline, review H1). OLCULEN deger downstream 0.25*std tabani. std ~4.7 referansi single5fold_std (SPEC §2); compute_cv_mse std 3-repeat ile dusuktur."
