blend,method,models,weights,intercept,nested_rw_oof
nnls_full,nnls,lgbm_full+lgbm_num+lgbm_full_w+catboost_full+catboost_full_w+txt_ridge+e5_ridge+mm+lgbm_full_h,lgbm_full=0.0000;lgbm_num=0.0459;lgbm_full_w=0.0000;catboost_full=0.3217;catboost_full_w=0.0090;txt_ridge=0.0000;e5_ridge=0.0000;mm=0.2160;lgbm_full_h=0.4072,0.0,84.996702
ridge_pos_full,ridge_pos,lgbm_full+lgbm_num+lgbm_full_w+catboost_full+catboost_full_w+txt_ridge+e5_ridge+mm+lgbm_full_h,lgbm_full=0.0497;lgbm_num=0.2422;lgbm_full_w=0.0000;catboost_full=0.1805;catboost_full_w=0.0998;txt_ridge=0.0000;e5_ridge=0.0984;mm=0.2041;lgbm_full_h=0.2363,-8.6387,84.099142
greedy_step,nnls,lgbm_full_h,lgbm_full_h=0.9962,0.0,86.248601
greedy_try_lgbm_full,nnls,lgbm_full_h+lgbm_full,lgbm_full_h=0.8260;lgbm_full=0.1708,0.0,86.221045
greedy_try_lgbm_num,nnls,lgbm_full_h+lgbm_num,lgbm_full_h=0.8466;lgbm_num=0.1504,0.0,86.05953
greedy_try_lgbm_full_w,nnls,lgbm_full_h+lgbm_full_w,lgbm_full_h=0.8862;lgbm_full_w=0.1105,0.0,86.24924
greedy_try_catboost_full,nnls,lgbm_full_h+catboost_full,lgbm_full_h=0.5317;catboost_full=0.4670,0.0,85.733136
greedy_try_catboost_full_w,nnls,lgbm_full_h+catboost_full_w,lgbm_full_h=0.6670;catboost_full_w=0.3310,0.0,85.934327
greedy_try_txt_ridge,nnls,lgbm_full_h+txt_ridge,lgbm_full_h=0.9962;txt_ridge=0.0000,0.0,86.248601
greedy_try_e5_ridge,nnls,lgbm_full_h+e5_ridge,lgbm_full_h=0.9962;e5_ridge=0.0000,0.0,86.260077
greedy_try_mm,nnls,lgbm_full_h+mm,lgbm_full_h=0.7451;mm=0.2530,0.0,85.192798
greedy_try_lgbm_full,nnls,lgbm_full_h+mm+lgbm_full,lgbm_full_h=0.6510;mm=0.2504;lgbm_full=0.0971,0.0,85.192441
greedy_try_lgbm_num,nnls,lgbm_full_h+mm+lgbm_num,lgbm_full_h=0.6977;mm=0.2407;lgbm_num=0.0599,0.0,85.201592
greedy_try_lgbm_full_w,nnls,lgbm_full_h+mm+lgbm_full_w,lgbm_full_h=0.6725;mm=0.2516;lgbm_full_w=0.0743,0.0,85.206894
greedy_try_catboost_full,nnls,lgbm_full_h+mm+catboost_full,lgbm_full_h=0.4378;mm=0.2247;catboost_full=0.3373,0.0,84.952728
greedy_try_catboost_full_w,nnls,lgbm_full_h+mm+catboost_full_w,lgbm_full_h=0.5133;mm=0.2374;catboost_full_w=0.2487,0.0,85.033755
greedy_try_txt_ridge,nnls,lgbm_full_h+mm+txt_ridge,lgbm_full_h=0.7451;mm=0.2530;txt_ridge=0.0000,0.0,85.192798
greedy_try_e5_ridge,nnls,lgbm_full_h+mm+e5_ridge,lgbm_full_h=0.7451;mm=0.2530;e5_ridge=0.0000,0.0,85.192798
greedy_try_lgbm_full,nnls,lgbm_full_h+mm+catboost_full+lgbm_full,lgbm_full_h=0.4378;mm=0.2247;catboost_full=0.3373;lgbm_full=0.0000,0.0,84.952728
greedy_try_lgbm_num,nnls,lgbm_full_h+mm+catboost_full+lgbm_num,lgbm_full_h=0.4080;mm=0.2159;catboost_full=0.3302;lgbm_num=0.0458,0.0,84.97508
greedy_try_lgbm_full_w,nnls,lgbm_full_h+mm+catboost_full+lgbm_full_w,lgbm_full_h=0.4378;mm=0.2247;catboost_full=0.3373;lgbm_full_w=0.0000,0.0,84.954997
greedy_try_catboost_full_w,nnls,lgbm_full_h+mm+catboost_full+catboost_full_w,lgbm_full_h=0.4374;mm=0.2247;catboost_full=0.3331;catboost_full_w=0.0045,0.0,84.973495
greedy_try_txt_ridge,nnls,lgbm_full_h+mm+catboost_full+txt_ridge,lgbm_full_h=0.4378;mm=0.2247;catboost_full=0.3373;txt_ridge=0.0000,0.0,84.952728
greedy_try_e5_ridge,nnls,lgbm_full_h+mm+catboost_full+e5_ridge,lgbm_full_h=0.4378;mm=0.2247;catboost_full=0.3373;e5_ridge=0.0000,0.0,84.952728
