blend,method,models,weights,intercept,nested_rw_oof
nnls_full,nnls,lgbm_full+lgbm_num+lgbm_full_w+catboost_full+catboost_full_w+txt_ridge+e5_ridge+mm+lgbm_full_h+lgbm_full_ht+xlmr+ourteam_tf,lgbm_full=0.0000;lgbm_num=0.0636;lgbm_full_w=0.0000;catboost_full=0.0287;catboost_full_w=0.0000;txt_ridge=0.0000;e5_ridge=0.0000;mm=0.0276;lgbm_full_h=0.0000;lgbm_full_ht=0.3159;xlmr=0.0000;ourteam_tf=0.5668,0.0,82.529143
ridge_pos_full,ridge_pos,lgbm_full+lgbm_num+lgbm_full_w+catboost_full+catboost_full_w+txt_ridge+e5_ridge+mm+lgbm_full_h+lgbm_full_ht+xlmr+ourteam_tf,lgbm_full=0.0000;lgbm_num=0.2049;lgbm_full_w=0.0000;catboost_full=0.0539;catboost_full_w=0.0086;txt_ridge=0.0000;e5_ridge=0.0000;mm=0.0491;lgbm_full_h=0.0723;lgbm_full_ht=0.1204;xlmr=0.0623;ourteam_tf=0.4946,-4.9855,82.239761
greedy_step,nnls,ourteam_tf,ourteam_tf=1.0055,0.0,84.051407
greedy_try_lgbm_full,nnls,ourteam_tf+lgbm_full,ourteam_tf=0.6684;lgbm_full=0.3357,0.0,82.992469
greedy_try_lgbm_num,nnls,ourteam_tf+lgbm_num,ourteam_tf=0.7577;lgbm_num=0.2472,0.0,83.029224
greedy_try_lgbm_full_w,nnls,ourteam_tf+lgbm_full_w,ourteam_tf=0.6926;lgbm_full_w=0.3115,0.0,83.077549
greedy_try_catboost_full,nnls,ourteam_tf+catboost_full,ourteam_tf=0.6308;catboost_full=0.3736,0.0,82.804386
greedy_try_catboost_full_w,nnls,ourteam_tf+catboost_full_w,ourteam_tf=0.6637;catboost_full_w=0.3407,0.0,82.925583
greedy_try_txt_ridge,nnls,ourteam_tf+txt_ridge,ourteam_tf=1.0055;txt_ridge=0.0000,0.0,84.075126
greedy_try_e5_ridge,nnls,ourteam_tf+e5_ridge,ourteam_tf=1.0055;e5_ridge=0.0000,0.0,84.062366
greedy_try_mm,nnls,ourteam_tf+mm,ourteam_tf=0.8650;mm=0.1403,0.0,83.777728
greedy_try_lgbm_full_h,nnls,ourteam_tf+lgbm_full_h,ourteam_tf=0.6177;lgbm_full_h=0.3846,0.0,82.672745
greedy_try_lgbm_full_ht,nnls,ourteam_tf+lgbm_full_ht,ourteam_tf=0.5915;lgbm_full_ht=0.4106,0.0,82.507706
greedy_try_xlmr,nnls,ourteam_tf+xlmr,ourteam_tf=1.0055;xlmr=0.0000,0.0,84.084138
greedy_try_lgbm_full,nnls,ourteam_tf+lgbm_full_ht+lgbm_full,ourteam_tf=0.5915;lgbm_full_ht=0.4106;lgbm_full=0.0000,0.0,82.507706
greedy_try_lgbm_num,nnls,ourteam_tf+lgbm_full_ht+lgbm_num,ourteam_tf=0.5866;lgbm_full_ht=0.3425;lgbm_num=0.0734,0.0,82.476521
greedy_try_lgbm_full_w,nnls,ourteam_tf+lgbm_full_ht+lgbm_full_w,ourteam_tf=0.5915;lgbm_full_ht=0.4106;lgbm_full_w=0.0000,0.0,82.507706
greedy_try_catboost_full,nnls,ourteam_tf+lgbm_full_ht+catboost_full,ourteam_tf=0.5856;lgbm_full_ht=0.3714;catboost_full=0.0453,0.0,82.527949
greedy_try_catboost_full_w,nnls,ourteam_tf+lgbm_full_ht+catboost_full_w,ourteam_tf=0.5890;lgbm_full_ht=0.3927;catboost_full_w=0.0204,0.0,82.528313
greedy_try_txt_ridge,nnls,ourteam_tf+lgbm_full_ht+txt_ridge,ourteam_tf=0.5915;lgbm_full_ht=0.4106;txt_ridge=0.0000,0.0,82.507706
greedy_try_e5_ridge,nnls,ourteam_tf+lgbm_full_ht+e5_ridge,ourteam_tf=0.5915;lgbm_full_ht=0.4106;e5_ridge=0.0000,0.0,82.507706
greedy_try_mm,nnls,ourteam_tf+lgbm_full_ht+mm,ourteam_tf=0.5662;lgbm_full_ht=0.3941;mm=0.0419,0.0,82.502479
greedy_try_lgbm_full_h,nnls,ourteam_tf+lgbm_full_ht+lgbm_full_h,ourteam_tf=0.5915;lgbm_full_ht=0.4106;lgbm_full_h=0.0000,0.0,82.507706
greedy_try_xlmr,nnls,ourteam_tf+lgbm_full_ht+xlmr,ourteam_tf=0.5915;lgbm_full_ht=0.4106;xlmr=0.0000,0.0,82.515091
