student_id,yil,rol,tier,gercek,tahmin,residual,kare_hata,agirlik,agirlikli_katki,katki_pct,v42_tahmin,sub2_tahmin,proje_kalite,teknik_mulakat,cgpa,kaldigi_ders,mentor_metni
STU_005695,2026,AI Engineer,Tier 2,0.0,61.78,-61.78,3816.5,2.035,7766.9,0.939,61.46,62.16,46.27,57.97,3.75,3,"Takım çalışmasındaki uyumu ve liderlik becerileri, bu öğrencinin önemli bir varlık olabileceğini gösteriyor. Fakat, teknik becerilerinin yanı sıra proje kalitesini artırması ve daha fazla deneyim edinmesi, kariyer başarısını olumlu yönde etkileyecektir."
STU_000614,2026,AI Engineer,Tier 3,45.21,98.0,-52.79,2787.1,2.035,5672.1,0.686,96.52,99.82,90.17,55.8,2.7,2,"Yazılım mühendisliği öğrencisi bu genç, hem teknik becerileri hem de proje kalitesi ile etkileyici bir profil sunuyor. Bulut altyapısı ve backend geliştirme konularındaki ustalığı, onu yapay zeka mühendisliği hedefinde güçlü bir aday kılıyor."
STU_007149,2024,Data Analyst,Tier 4,18.04,70.57,-52.53,2759.3,1.512,4171.4,0.504,72.72,67.94,57.54,65.01,3.65,0,"Farklı projelerdeki deneyimlerinizle birlikte sunum becerileriniz oldukça etkileyici. Ancak, kodlama ve teknik yeterlilik alanında daha fazla pratik yapmanız gerektiğini düşünüyorum; bu, alanınızdaki başarılarınızı pekiştirecektir."
STU_005297,2026,DevOps Engineer,Tier 2,24.96,69.99,-45.03,2027.5,2.035,4126.2,0.499,71.17,68.54,45.21,47.18,3.46,0,"Güçlü bir DevOps mühendisi olma potansiyeline sahip olan bu öğrencinin kodlama ve problem çözme becerileri oldukça iyi seviyede. Ancak, proje deneyimi ve teknik mülakat başarısının düşük olması, gerçek dünya deneyimlerine daha fazla ihtiyaç duyduğunu ortaya koyuyor."
STU_009825,2025,Backend Developer,Tier 2,87.93,47.65,40.28,1622.5,1.845,2993.0,0.362,45.49,50.29,11.22,46.68,2.65,3,"Bu öğrenci yazılım mühendisliği alanında çeşitli stajlar yapmış, fakat teknik beczilerinde gelişim göstermesi gerektiğini düşünüyorum. Özellikle backend ve proje kalitesi konularındaki zayıflıkları üzerine çalışması gerekli. İletişim yetenekleri güçlü, bu da işbirliğine katkı sağlıyor."
STU_006129,2024,Data Scientist,Tier 4,22.12,66.3,-44.18,1951.7,1.512,2950.5,0.357,67.38,64.98,68.62,38.56,3.1,0,"Üç staj deneyimi, bu öğrencinin veri bilimcisi olma yolundaki kararlılığını gösteriyor. Ancak, teknik mülakat skoru ve portföy geliştirme üzerine daha fazla çalışma yapması, onu daha rekabetçi bir aday haline getirebilir."
STU_009362,2025,AI Engineer,Tier 3,88.94,49.09,39.85,1587.9,1.845,2929.1,0.354,51.08,46.66,28.3,22.02,2.52,1,"Matematik alanındaki sağlam temeli ile dikkat çeken bu öğrenci, özellikle veri yapıları konusundaki bilgisiyle sorunları çözme yeteneğini kanıtlıyor. Ancak proje kalitesi ve iletişim becerileri üzerinde daha fazla çalışması gerektiğini gözlemliyorum."
STU_003409,2024,Frontend Developer,Tier 2,23.54,67.03,-43.49,1891.0,1.512,2858.7,0.346,66.83,67.26,53.04,74.3,2.66,5,"Frontend geliştirme konusundaki heyecanı ve tutkusunu projelerine yansıttığını görmek güzel. Ancak, portfolyosunu güçlendirmek ve daha çok gerçek dünya projesine katılmak, onu daha rekabetçi bir aday haline getirebilir."
STU_003966,2026,Software Developer,Tier 1,93.09,56.04,37.05,1372.6,2.035,2793.4,0.338,57.34,54.45,48.09,45.87,3.06,3,"Gelişiminizi izlemek gerçekten keyifli. Yazılım geliştirme alanındaki tutkunuz ve GitHub projeleriniz dikkat çekiyor. Ancak, proje kalitenizi artırmak ve teknik mülakatlarda daha iyi performans göstermek için daha fazla pratik yapmaya ihtiyacınız var."
STU_002233,2026,Cloud Engineer,Tier 3,24.75,61.73,-36.98,1367.7,2.035,2783.5,0.336,63.43,59.65,47.66,77.46,3.77,2,"Yüksek genel not ortalamanız ve teknik yetenekleriniz, sizin potansiyel bir bulut mühendisi olarak büyük bir avantaj sağlıyor. Ancak, gerçek proje deneyiminizin eksikliği, öğrendiklerinizi uygulama fırsatlarını kısıtlayabilir."
STU_006391,2026,Product Analyst,Tier 3,80.89,44.02,36.87,1359.8,2.035,2767.2,0.334,45.28,42.47,30.46,24.9,4.0,0,"Proje çalışmasında gösterdiği çaba ve özveri dikkat çekici. Zayıf olan problem çözme yeteneği üzerinde daha fazla çalışması gerektiğini düşünüyorum, ancak genel başarı skoru ile geleceği için umut verici bir potansiyele sahip."
STU_008980,2026,Backend Developer,Tier 3,74.06,38.61,35.45,1256.8,2.035,2557.8,0.309,38.05,39.29,36.08,31.2,3.45,3,"Backend geliştirme alanında hedef belirleyen bu öğrenci, temel programlama becerilerini güçlendirmek ve projelerine daha fazla kalite katmak için ekstra çalışmalara ihtiyaç duyuyor. Ayrıca, iletişim becerilerini geliştirerek takım içindeki etkinliğini artırması faydalı olacaktır."
STU_008759,2025,Data Analyst,Tier 3,95.06,58.9,36.16,1307.7,1.845,2412.2,0.292,60.62,56.8,53.03,24.61,2.77,1,"İstatistiksel bilgi birikimi ve makine öğrenimi becerileri ile öne çıkan bu öğrenci, proaktif bir şekilde iki gerçek müşteri projesi tamamladı. Ancak teknik mülakat skorları, işe alım süreçlerinde dikkat etmesi gereken bir alan olarak öne çıkıyor."
STU_007207,2025,MLOps Engineer,Tier 3,40.03,76.18,-36.15,1306.8,1.845,2410.7,0.291,74.94,77.69,82.11,18.85,2.79,1,"Çalışmalarında MLOps alanına yönelen öğrencim, yazılım geliştirme becerileri ve projeleri ile dikkat çekiyor. Ancak teknik mülakatlarda ve iletişim becerilerinde geliştirmesi gereken alanlar mevcut; elde ettiği proje kalitesi, gelecekteki başarıları için önemli bir zemin oluşturuyor."
STU_008807,2025,Backend Developer,Tier 2,94.02,57.91,36.11,1303.9,1.845,2405.3,0.291,59.47,56.0,50.2,29.14,3.62,0,"Backend geliştirme hedefi doğrultusunda ilerleyen öğrencimiz, iş birliği ve takım çalışmasında güçlü bir performans sergiliyor. İletişim becerilerini geliştirmeye odaklandığında, teknik yeterlilikleri ile birlikte daha büyük projelerde yer almak için hazır olacaktır."
STU_006624,2025,DevOps Engineer,Tier 2,57.08,92.91,-35.83,1284.1,1.845,2368.8,0.286,91.73,94.36,96.25,69.94,3.05,4,"DevOps mühendisi olarak hedeflerinizi destekleyen geniş bir proje deneyimine sahipsiniz. Ancak, teknik becerilerde ve iletişimde daha fazla çaba sarf etmeniz önemli. Portföyünüzdeki çeşitlilik, gelişim sürecinizin bir göstergesi."
STU_005978,2025,Data Scientist,Tier 2,96.72,61.03,35.69,1273.5,1.845,2349.2,0.284,60.54,61.64,65.09,19.19,2.41,0,"Veri Bilimi alanında hedefleyen bu öğrenci, özellikle makine öğrenimi konusundaki ilgisi ile dikkat çekiyor. Ancak, teknik mülakat skorundaki düşük puanı, temel coding becerilerini geliştirmesi gerektiğini gösteriyor. Freelance projelerinde ve açık kaynak katkılarında gösterdiği çaba, onu potansiyel bir veri bilimci olarak konumlandırsa da, iletişim becerilerini güçlendirmesi kritik bir adım olacaktır."
